ASIN,keyword,commodity_item,brandName,price,comments,star_level,ranking,DATE
B01IW02HX2,3ce,NYX(ニックス) UT シャドウ パレット ニュートラル アイシャドウ 03 カラーウォーム 0.83g x 16,null,"￥3,132",90件のカスタマーレビュー,星5つ中の4.3,"ビューティー - 4,217位 (","['1.8 x 9.9 x 9.6 cm ; 99.8 g', '113 g', '800897017644', 'B01IW02HX2', '2017/10/3', 'ビューティー - 4,217位 (', ')']"
B01HNQLN5O,3ce,3CE [韓国コスメ 3CE] マジックタッチ フェイスメーカー# Beige 3CE Magic Touch Face Maker 3CE # Beige [並行輸入品],3CE,"￥1,420",null,null,"ビューティー - 32,605位 (","['49.9 g', '1', 'B01HNQLN5O', '2016/6/28', 'ビューティー - 32,605位 (', ')']"
B06XRP7GG7,3ce,3CE HIGHLIGHTER #GOLD PINK / 3CEハイライター #GOLD PINK [並行輸入品],3CE,null,1 件のカスタマーレビュー,星5つ中の2,"ビューティー - 185,082位 (",2017/3/19
B00200L8O0,クリンスイ+カートリッジ,三菱レイヨン・クリンスイ クリンスイポット型浄水器用 交換カートリッジ スーパーハイグレード(2個入) CPC5W-NW,三菱レイヨン・クリンスイ,"￥2,357",584件のカスタマーレビュー,星5つ中の4.3,ホーム＆キッチン - 113位 (,"['15.5 x 10.5 x 5.5 cm ; 231 g', '240 g', 'CPC5W-NW', 'B00200L8O0', '2009/3/24', 'ホーム＆キッチン - 113位 (', ')']"
B0029LSQ6S,クリンスイ+カートリッジ,三菱レイヨン クリンスイ 浄水機カートリッジ UZC2000,三菱レイヨン・クリンスイ,"￥8,340",305件のカスタマーレビュー,星5つ中の4.4,ホーム＆キッチン - 283位 (,"['821 g', '821 g', 'UZC2000', 'B0029LSQ6S', '2009/5/12', 'ホーム＆キッチン - 283位 (', ')']"
B003AZZS4K,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ 浄水器 カートリッジ 交換用 MONOシリーズ ホワイト 約高さ9×直径5.5cm 13+2物質除去 MDCO1SW 2入,三菱レイヨン・クリンスイ,"￥4,196",901件のカスタマーレビュー,星5つ中の4.4,ホーム＆キッチン - 16位 (,"['16.5 x 12.1 x 6.3 cm ; 299 g', '299 g', 'MDCO1SW', 'B003AZZS4K', '2009/7/28', 'ホーム＆キッチン - 16位 (', ')']"
B005KG9E7E,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ 浄水カートリッジ SFC0002T,三菱ケミカル・クリンスイ,"￥7,540",228件のカスタマーレビュー,星5つ中の4.2,ホーム＆キッチン - 541位 (,"['259 g', '259 g', 'SFC0002', 'B005KG9E7E', '2011/9/1', 'ホーム＆キッチン - 541位 (', ')']"
B00200L8Q8,クリンスイ+カートリッジ,三菱レイヨン・クリンスイ CSPシリーズ用交換カートリッジ スーパーハイグレード 【13+2物質除去】 (2個入) HGC9SW,三菱レイヨン・クリンスイ,"￥4,110",413件のカスタマーレビュー,星5つ中の4.5,ホーム＆キッチン - 383位 (,"['290 g', '290 g', 'HGC9SW', 'B00200L8Q8', '2009/3/24', 'ホーム＆キッチン - 383位 (', ')']"
B006HW2L7U,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ 浄水シャワー用カートリッジ 2個入 SKC205W,三菱レイヨン・クリンスイ,"￥1,542",78件のカスタマーレビュー,星5つ中の4,"ホーム＆キッチン - 1,105位 (","['59 g', '59 g', 'SKC205W', 'B006HW2L7U', '2012/1/11', 'ホーム＆キッチン - 1,105位 (', ')']"
B075GG5P4R,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ ポット型浄水器 CP012 + カートリッジ CP012W-WT,三菱レイヨン・クリンスイ,"￥3,010",61件のカスタマーレビュー,星5つ中の4.2,"ホーム＆キッチン - 4,267位 (","['549 g', '862 g', 'CP012W-WT', 'B075GG5P4R', '2017/9/8', 'ホーム＆キッチン - 4,267位 (', ')']"
B003AZZS54,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ 浄水器 カートリッジ 交換用 MONOシリーズ ホワイト 約高さ10×直径6cm 7+2物質除去 MDC03SW 2入,三菱レイヨン・クリンスイ,"￥2,800",121件のカスタマーレビュー,星5つ中の4.1,"ホーム＆キッチン - 2,987位 (","['13.5 x 12.7 x 6.3 cm ; 290 g', '290 g', 'MDC03SW', 'B003AZZS54', '2010/3/5', 'ホーム＆キッチン - 2,987位 (', ')']"
B003N5PEBE,クリンスイ+カートリッジ,三菱レイヨン・クリンスイ モノシリーズ用交換カートリッジ 除去物質13+2(2個入) MDC01SW,三菱レイヨン・クリンスイ,"￥4,480",null,null,"ビューティー - 6,066位 (","['290 g', '290 g', 'B003N5PEBE', '2010/6/19', 'ビューティー - 6,066位 (', ')']"
B00P7MLHW6,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ CBシリーズ用交換カートリッジ 3個入 お買得パック CBC03Z,三菱レイヨン・クリンスイ,"￥5,117",50件のカスタマーレビュー,星5つ中の4.6,"ホーム＆キッチン - 4,161位 (","['99.8 g', '408 g', 'CBC03Z', 'B00P7MLHW6', '2014/11/4', 'ホーム＆キッチン - 4,161位 (', ')']"
B006HW2L0M,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ 浄水シャワー用カートリッジ 2個入 SYC202W,三菱レイヨン・クリンスイ,"￥1,845",170件のカスタマーレビュー,星5つ中の4.2,ホーム＆キッチン - 859位 (,"['7.5 x 5 x 5 cm ; 99.8 g', '99.8 g', 'SYC202W', 'B006HW2L0M', '2012/1/11', 'ホーム＆キッチン - 859位 (', ')']"
B003M8G952,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ 浄水器 カートリッジ 交換用 CBシリーズ ホワイト 約高さ9.3×直径5.5cm 7+2物質除去 CBC03W 2入,三菱レイヨン・クリンスイ,"￥3,300",158件のカスタマーレビュー,星5つ中の4.3,"ホーム＆キッチン - 3,541位 (","['268 g', '268 g', 'CBC03W', 'B003M8G952', '2010/5/14', 'ホーム＆キッチン - 3,541位 (', ')']"
B00024J6UE,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ 浄水器 ピクシーシリーズ用 交換カートリッジ 7+2物質除去 2個入 PPC4440W,三菱レイヨン・クリンスイ,"￥2,460",123件のカスタマーレビュー,星5つ中の4.3,"ホーム＆キッチン - 5,031位 (","['322 g', '322 g', 'PPC4440W', 'B00024J6UE', '2004/4/29', 'ホーム＆キッチン - 5,031位 (', ')']"
B0060P7K3E,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ クリンスイポット型浄水器用 交換カートリッジ スーパーハイグレード 3個入 特別セット CPC5Z,三菱ケミカル・クリンスイ,"￥4,560",43件のカスタマーレビュー,星5つ中の4.7,"ホーム＆キッチン - 5,548位 (","['16.6 x 16.3 x 5.6 cm', '376 g', 'CPC5Z', 'B0060P7K3E', '2011/11/1', 'ホーム＆キッチン - 5,548位 (', ')']"
B0009E1Z74,クリンスイ+カートリッジ,三菱レイヨン・クリンスイ アンダーシンク型浄水器用交換カートリッジ  UAC0827-GN,三菱レイヨン・クリンスイ,"￥8,258",129件のカスタマーレビュー,星5つ中の4.3,"ホーム＆キッチン - 4,540位 (","['22.8 x 11.2 x 11.1 cm ; 807 g', '807 g', 'UAC0827-GN', 'B0009E1Z74', '2005/4/15', 'ホーム＆キッチン - 4,540位 (', ')']"
B0000DIJD8,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ 浄水器 デミシリーズ用 交換カートリッジ 7+2物質除去 2個入 XTC2100W,三菱レイヨン・クリンスイ,"￥2,626",71件のカスタマーレビュー,星5つ中の4.3,"ホーム＆キッチン - 18,874位 (","['11.1 x 9.9 x 5.2 cm ; 204 g', '204 g', 'XTC2100W', 'B0000DIJD8', '2003/9/25', 'ホーム＆キッチン - 18,874位 (', ')']"
B0088GWV7I,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ CSPシリーズ用交換カートリッジ 3個入 お買得パック HGC9SZ,三菱レイヨン・クリンスイ,"￥6,400",31件のカスタマーレビュー,星5つ中の4.4,"ホーム＆キッチン - 11,701位 (","['127 g', '440 g', 'HGC9SZ', 'B0088GWV7I', '2011/4/10', 'ホーム＆キッチン - 11,701位 (', ')']"
B008FN5YDM,クリンスイ+カートリッジ,三菱レイヨンクリンスイ 蛇口直結型浄水器 CB073カートリッジプラス1セット,三菱レイヨン・クリンスイ,"￥2,975",163件のカスタマーレビュー,星5つ中の4.4,"ホーム＆キッチン - 1,282位 (","['222 g', '458 g', '2 アルカリボタン電池 電池(付属)', '-', 'B008FN5YDM', '2012/6/28', 'ホーム＆キッチン - 1,282位 (', ')']"
B07S5R1RLS,クリンスイ+カートリッジ,三菱レイヨン クリンスイ 浄水機カートリッジ UZC2000 + TOTO ビルトイン型浄水器用ホースセット 93A441 93A451 93A48R,ノーブランド品,"￥10,148",4件のカスタマーレビュー,星5つ中の4.2,"ホーム＆キッチン - 60,936位 (","['1.1 Kg', 'UZC2000+TOTO93A441-93A451-93A48R', 'B07S5R1RLS', '2019/5/21', 'ホーム＆キッチン - 60,936位 (', ')']"
B0001UQX5A,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ アンダーシンク型浄水器用交換カートリッジ UNC1000,三菱ケミカル・クリンスイ,"￥12,726",43件のカスタマーレビュー,星5つ中の4.6,"ホーム＆キッチン - 19,003位 (","['27.6 x 14.6 x 14.5 cm ; 1.61 Kg', '1.6 Kg', 'UNC1000', 'B0001UQX5A', '2004/3/11', 'ホーム＆キッチン - 19,003位 (', ')']"
B004CLZ6VG,クリンスイ+カートリッジ,三菱レイヨンクリンスイ 蛇口直結型浄水器 CB013カートリッジプラス1セット,三菱レイヨン・クリンスイ,"￥2,663",122件のカスタマーレビュー,星5つ中の4.1,"ホーム＆キッチン - 6,299位 (","['24.2 x 14.8 x 9.2 cm ; 522 g', '522 g', '-', 'B004CLZ6VG', '2010/11/17', 'ホーム＆キッチン - 6,299位 (', ')']"
B00200L8OA,クリンスイ+カートリッジ,三菱レイヨン・クリンスイ クリンスイポット型浄水器用 交換カートリッジ アルカリポットスーパーハイグレード(2個入) CPC7W,三菱レイヨン・クリンスイ,"￥4,930",110件のカスタマーレビュー,星5つ中の3.8,"ホーム＆キッチン - 30,179位 (","['381 g', '381 g', 'CPC7W', 'B00200L8OA', '2009/3/24', 'ホーム＆キッチン - 30,179位 (', ')']"
B07PNV2BTQ,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ アンダーシンクタイプ 交換カートレッジ UZC2000-RD,三菱ケミカル・クリンスイ,"￥11,000",null,null,"ホーム＆キッチン - 21,085位 (","['862 g', 'UZC2000-RD', 'B07PNV2BTQ', '2018/8/31', 'ホーム＆キッチン - 21,085位 (', ')']"
B00CTFNYE8,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ クリンスイタンブラー用 交換カートリッジ 3本入り TMC04Z,三菱レイヨン・クリンスイ,"￥2,689",11件のカスタマーレビュー,星5つ中の3.4,"ホーム＆キッチン - 40,004位 (","['118 g', '118 g', 'TMC04Z', 'B00CTFNYE8', '2013/5/16', 'ホーム＆キッチン - 40,004位 (', ')']"
B00200L8QI,クリンスイ+カートリッジ,三菱レイヨン・クリンスイ 浄水器 ピクシーシリーズ用交換カートリッジ ハイスタンダード 【7+2物質除去】 (1個入) PPC4440,三菱レイヨン・クリンスイ,"￥1,349",4件のカスタマーレビュー,星5つ中の3.4,"ホーム＆キッチン - 48,752位 (","['181 g', 'PPC4440', 'B00200L8QI', '2009/3/24', 'ホーム＆キッチン - 48,752位 (', ')']"
B074FQQGVB,クリンスイ+カートリッジ,クリンスイ アルカリポットシリーズ ポット型浄水器用交換カートリッジ 2個入 CPC7W-NW,三菱レイヨン・クリンスイ,"￥3,154",6件のカスタマーレビュー,星5つ中の3.7,"ホーム＆キッチン - 5,753位 (","['99.8 g', '281 g', 'CPC7W-NW', 'B074FQQGVB', '2017/8/2', 'ホーム＆キッチン - 5,753位 (', ')']"
B0001UQXEG,クリンスイ+カートリッジ,三菱レイヨン・クリンスイ アンダーシンク型浄水器用交換カートリッジ UZC2000-BL,三菱レイヨン・クリンスイ,"￥17,800",367件のカスタマーレビュー,星5つ中の4.3,"ホーム＆キッチン - 4,750位 (","['23.4 x 15.6 x 11 cm ; 848 g', '848 g', 'UZC2000', 'B0001UQXEG', '2004/3/11', 'ホーム＆キッチン - 4,750位 (', ')']"
B07P5K4FXH,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ ポット型浄水器 CP012 カートリッジ3個(CPC5) CP012Z-WT,三菱レイヨン・クリンスイ,"￥3,980",3件のカスタマーレビュー,星5つ中の4.6,"ホーム＆キッチン - 33,870位 (","['10.5 x 10.5 x 28.8 cm ; 1.01 Kg', '1 Kg', 'CP012', 'B07P5K4FXH', '2019/2/25', 'ホーム＆キッチン - 33,870位 (', ')']"
B071YP2D6N,クリンスイ+カートリッジ,WATERCOUTURE ウォータークチュール 浄水シャワー カートリッジ(3個入)セット,WATERCOUTURE,"￥2,590",8件のカスタマーレビュー,星5つ中の3.7,"ホーム＆キッチン - 10,191位 (","['99.8 g', '99.8 g', '43224-8997', 'B071YP2D6N', '2017/4/26', 'ホーム＆キッチン - 10,191位 (', ')']"
B0060P7K0C,クリンスイ+カートリッジ,三菱レイヨン・クリンスイ クリンスイモノシリーズ用交換カートリッジ スーパーハイグレード 3個入 MDC01SZ,三菱レイヨン・クリンスイ,"￥8,790",66件のカスタマーレビュー,星5つ中の4.5,"ホーム＆キッチン - 15,759位 (","['449 g', '449 g', 'MDC01SZ', 'B0060P7K0C', '2011/11/1', 'ホーム＆キッチン - 15,759位 (', ')']"
B000FH8JUG,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ 浄水器 カートリッジ 交換用 据置型 AL001用 ホワイト 約高さ16.8×直径7.2cm 13物質除去 ALC1110,三菱レイヨン・クリンスイ,"￥6,220",52件のカスタマーレビュー,星5つ中の3.4,"ホーム＆キッチン - 13,821位 (","['386 g', 'ALC1110', 'B000FH8JUG', '2006/4/26', 'ホーム＆キッチン - 13,821位 (', ')']"
B008EJ4QHM,クリンスイ+カートリッジ,クリンスイ 蛇口直結型浄水器 ピクシーシリーズ用カートリッジ PPC4440W 2個入り ds-483930,Supor,"￥3,000",1 件のカスタマーレビュー,星5つ中の5,"ホーム＆キッチン - 179,931位 (","['299 g', 'KTEC-cSUPO-ds-483930', 'B008EJ4QHM', '2012/10/13', 'ホーム＆キッチン - 179,931位 (', ')']"
B001KOT8U8,クリンスイ+カートリッジ,三菱レイヨン・クリンスイ 浄水器【限定品】 ピクシーシリーズ用交換カートリッジ【7+2物質除去】 特別セット 3個入 PPC4440Z,三菱レイヨン・クリンスイ,null,15件のカスタマーレビュー,星5つ中の3.9,"ホーム＆キッチン - 68,210位 (","['522 g', '522 g', 'PPC4440Z', 'B001KOT8U8', '2008/11/9', 'ホーム＆キッチン - 68,210位 (', ')']"
B005KGZ6UI,クリンスイ+カートリッジ,CNC0001T　カウインターオン型クリンスイ浄水器交換カートリッジ,三菱レイヨン・クリンスイ,"￥9,240",31件のカスタマーレビュー,星5つ中の4.8,"ホーム＆キッチン - 8,380位 (","['259 g', '259 g', 'CNC0001', 'B005KGZ6UI', '2011/9/1', 'ホーム＆キッチン - 8,380位 (', ')']"
B00186L7LG,クリンスイ+カートリッジ,三菱レイヨン・クリンスイ 浄水器 モノシリーズ用交換カートリッジ 【8+2物質除去】 2個入 MDC02W,三菱レイヨン・クリンスイ,"￥3,978",22件のカスタマーレビュー,星5つ中の3.9,"ホーム＆キッチン - 119,951位 (","['354 g', 'MDC02W', 'B00186L7LG', '2007/5/1', 'ホーム＆キッチン - 119,951位 (', ')']"
B07F6XJLKM,クリンスイ+カートリッジ,2個セット 三菱ケミカル・クリンスイ CBシリーズ用交換カートリッジ ハイスタンダード除去物質7+2(2個入) CBC03W 計4個,三菱ケミカルクリンスイ,"￥6,500",null,null,"ホーム＆キッチン - 39,000位 (","['549 g', 'CBC03W', 'B07F6XJLKM', '2018/7/2', 'ホーム＆キッチン - 39,000位 (', ')']"
B00024J6TU,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ 浄水器 カートリッジ 交換用 据置型 SuperSTX用 ホワイト 約高さ14.7×直径10cm 13+2物質除去 SSC8800,三菱ケミカル・クリンスイ,"￥7,791",45件のカスタマーレビュー,星5つ中の4.1,"ホーム＆キッチン - 21,087位 (","['594 g', '594 g', 'SSC8800', 'B00024J6TU', '2004/4/29', 'ホーム＆キッチン - 21,087位 (', ')']"
B01H1EHP50,クリンスイ+カートリッジ,三菱ケミカル・クリンスイ 浄水器 ポット型 カートリッジ 増量セット クリア 約高さ28×幅10.5×奥行15.8cm 除菌 フィルター スライド式 CP405W-WT,三菱レイヨン・クリンスイ,"￥2,803",81件のカスタマーレビュー,星5つ中の3.8,"ホーム＆キッチン - 5,832位 (","['680 g', '1 Kg', 'CP405W-WT', 'B01H1EHP50', '2016/6/14', 'ホーム＆キッチン - 5,832位 (', ')']"
B00200L8PO,クリンスイ+カートリッジ,三菱レイヨン・クリンスイ CSPシリーズ用交換カートリッジ ハイグレード 【8+2物質除去】 (2個入) HGC1SW,三菱レイヨン・クリンスイ,"￥3,480",19件のカスタマーレビュー,星5つ中の4.1,"ホーム＆キッチン - 76,348位 (","['12.2 x 10.4 x 6.2 cm ; 299 g', '299 g', 'HGC1SW', 'B00200L8PO', '2009/3/24', 'ホーム＆キッチン - 76,348位 (', ')']"
B01M1RHVT0,クリンスイ+カートリッジ,WATERCOUTURE ウォータークチュール ピュアシャワー用 交換カートリッジ 10個入り,WATERCOUTURE,"￥4,400",6件のカスタマーレビュー,星5つ中の3.6,"ホーム＆キッチン - 29,148位 (","['318 g', '318 g', 'WWC201', 'B01M1RHVT0', '2016/9/20', 'ホーム＆キッチン - 29,148位 (', ')']"
